,Location,BHK,Sq.ft,Floor,Price
424,Bommanahalli,3,1381,4,22000
425,Bommanahalli,3,1381,4,22000
426,Bommanahalli,2,1400,2,22000
427,Whitefield,2,1280,3,23000
428,Bommanahalli,2,767,3,16000
429,Bommanahalli,3,1250,1,20000
430,Bommanahalli,2,950,1,14000
431,Bommanahalli,2,1400,2,22000
432,Bommanahalli,2,950,1,14000
433,Bommanahalli,3,1500,1,22000
434,Bommanahalli,3,1460,2,25000
435,Bommanahalli,3,3000,3,28000
436,Whitefield,2,1333,3,26000
437,Bommanahalli,2,1251,3,19500
438,Bommanahalli,2,1135,2,16000
439,Whitefield,2,1000,3,18000
440,Whitefield,3,1760,8,39500
441,Bommanahalli,2,1033,0,16500
442,Bommanahalli,2,1200,4,19000
443,Bommanahalli,2,1400,2,22000
444,Whitefield,2,1245,1,25000
445,Whitefield,3,1704,13,35000
446,Bommanahalli,2,1135,2,16000
447,Bommanahalli,3,3000,3,28000
448,Bommanahalli,2,1089,2,15500
449,Bommanahalli,3,1744,2,22000
450,Bommanahalli,2,1400,2,22000
451,Bommanahalli,2,1033,0,16500
452,Whitefield,3,1760,8,39500
453,Whitefield,3,2180,11,35000
454,Whitefield,2,1060,1,16000
455,Bommanahalli,2,1300,3,20000
456,Whitefield,2,1000,3,18000
457,Bommanahalli,3,1381,4,22000
458,Whitefield,2,1290,10,26000
459,Whitefield,3,1760,8,39500
460,Bommanahalli,3,1460,2,25000
461,Bommanahalli,2,1300,3,20000
462,Bommanahalli,2,950,1,14000
463,Bommanahalli,2,960,3,11000
464,Bommanahalli,3,1250,1,20000
465,Bommanahalli,3,1250,1,20000
466,Whitefield,3,2100,7,28000
467,Whitefield,3,2180,11,35000
468,Bommanahalli,2,767,3,16000
469,Whitefield,2,1060,1,16000
470,Bommanahalli,3,1381,4,22000
471,Whitefield,2,1280,3,23000
472,Bommanahalli,2,960,3,11000
473,Bommanahalli,2,1135,2,16000
474,Bommanahalli,3,3000,3,28000
475,Bommanahalli,3,1250,1,20000
476,Bommanahalli,2,1089,2,15500
477,Bommanahalli,2,950,1,14000
478,Whitefield,2,1088,1,14000
479,Whitefield,2,1245,1,25000
480,Whitefield,3,1704,13,35000
481,Bommanahalli,3,1500,1,22000
482,Bommanahalli,3,1471,3,21000
483,Whitefield,3,1760,8,39500
484,Whitefield,2,1000,3,18000
485,Bommanahalli,2,1400,2,22000
486,Bommanahalli,2,1089,2,15500
487,Whitefield,3,1600,9,27000
488,Bommanahalli,2,1400,2,22000
489,Bommanahalli,3,1460,2,25000
490,Bommanahalli,2,1089,2,15500
491,Whitefield,2,1290,10,26000
492,Whitefield,2,1333,3,26000
493,Bommanahalli,2,1135,2,16000
494,Whitefield,3,2100,7,28000
495,Bommanahalli,3,1500,1,22000
496,Whitefield,2,1000,3,16400
497,Whitefield,2,1568,3,28000
498,Bommanahalli,2,767,3,16000
499,Whitefield,3,2117,0,33000
500,Bommanahalli,2,1135,2,16000
501,Bommanahalli,2,1089,2,15500
502,Whitefield,3,1760,8,39500
503,Whitefield,3,1870,3,35000
504,Whitefield,2,1568,3,28000
505,Whitefield,3,1870,3,35000
506,Bommanahalli,2,1033,0,16500
507,Whitefield,3,2180,11,35000
508,Whitefield,2,1000,3,18000
509,Whitefield,2,1290,10,26000
510,Whitefield,2,1568,3,28000
511,Whitefield,3,2117,0,33000
512,Whitefield,3,1600,9,27000
513,Bommanahalli,3,1460,2,25000
514,Whitefield,3,1675,4,26000
515,Whitefield,2,1000,3,16400
516,Bommanahalli,2,950,1,14000
517,Whitefield,2,1060,1,17000
518,Whitefield,3,1704,13,35000
519,Whitefield,3,2292,12,39000
520,Whitefield,2,1600,4,24000
521,Bommanahalli,2,960,3,11000
522,Whitefield,3,2292,12,39000
523,Whitefield,3,1768,11,30000
524,Whitefield,2,1000,3,16400
525,Whitefield,2,1333,3,26000
526,Whitefield,2,1000,3,16400
527,Bommanahalli,2,1300,3,20000
528,Bommanahalli,2,1300,3,20000
529,Whitefield,3,2200,10,42000
530,Bommanahalli,3,1381,4,22000
531,Whitefield,3,2117,0,33000
532,Whitefield,2,1000,3,16400
533,Whitefield,2,1280,3,23000
534,Bommanahalli,2,1089,2,15500
535,Whitefield,3,1870,3,35000
536,Whitefield,3,1704,13,35000
537,Bommanahalli,3,1375,3,19000
538,Bommanahalli,2,1300,3,20000
539,Bommanahalli,3,1650,0,18000
540,Bommanahalli,2,1050,2,18000
541,Bommanahalli,3,1375,3,19000
542,Bommanahalli,3,1650,0,18000
543,Bommanahalli,3,1460,2,25000
544,Bommanahalli,2,1050,2,18000
545,Whitefield,2,1600,4,24000
546,Whitefield,3,2200,10,42000
547,Whitefield,2,1245,1,25000
548,Whitefield,3,1675,4,26000
549,Whitefield,2,1060,1,17000
550,Bommanahalli,2,767,3,16000
551,Whitefield,3,2292,12,39000
552,Bommanahalli,3,1500,1,22000
553,Whitefield,3,1768,11,30000
554,Bommanahalli,2,1251,3,19500
555,Bommanahalli,2,1251,3,19500
556,Bommanahalli,2,1033,0,16500
557,Whitefield,2,1000,3,18000
558,Whitefield,2,1280,3,23000
559,Bommanahalli,3,1250,1,20000
560,Bommanahalli,3,1250,1,20000
561,Bommanahalli,3,1460,2,25000
562,Whitefield,2,1568,3,28000
563,Whitefield,3,1870,3,35000
564,Bommanahalli,3,1250,1,20000
565,Bommanahalli,2,960,3,11000
566,Whitefield,3,1600,9,27000
567,Bommanahalli,2,1400,2,22000
568,Whitefield,3,1870,3,35000
569,Whitefield,3,1870,3,35000
570,Whitefield,2,1088,1,14000
571,Whitefield,2,1000,3,18000
572,Bommanahalli,3,3000,3,28000
573,Bommanahalli,2,1089,2,15500
574,Whitefield,2,1000,3,18000
575,Bommanahalli,2,767,3,16000
576,Bommanahalli,2,960,3,11000
577,Whitefield,2,1060,1,17000
578,Bommanahalli,2,1089,2,15500
579,Bommanahalli,3,1650,0,18000
580,Bommanahalli,2,950,1,14000
581,Whitefield,2,1200,1,20000
582,Whitefield,3,1768,11,30000
583,Whitefield,3,1768,11,30000
584,Whitefield,3,1768,11,30000
585,Bommanahalli,2,767,3,16000
586,Bommanahalli,3,1460,2,25000
587,Whitefield,3,1704,13,35000
588,Bommanahalli,2,1135,2,16000
589,Bommanahalli,3,3000,3,28000
590,Whitefield,3,2100,7,28000
591,Bommanahalli,3,3000,3,28000
592,Bommanahalli,3,1471,3,21000
593,Whitefield,2,1280,3,23000
594,Whitefield,2,1000,3,18000
595,Bommanahalli,3,1500,1,22000
596,Whitefield,2,1060,1,16000
597,Bommanahalli,2,1135,2,16000
598,Whitefield,3,2117,0,33000
599,Bommanahalli,2,1300,3,20000
600,Bommanahalli,2,950,1,14000
601,Bommanahalli,3,1471,3,21000
602,Whitefield,2,1280,3,23000
603,Bommanahalli,3,1381,4,22000
604,Bommanahalli,3,1471,3,21000
605,Bommanahalli,3,1500,1,22000
606,Bommanahalli,2,1135,2,16000
607,Bommanahalli,3,1471,3,21000
608,Bommanahalli,3,1500,1,22000
609,Bommanahalli,2,1200,4,19000
610,Bommanahalli,2,960,3,11000
611,Bommanahalli,2,1033,0,16500
612,Whitefield,2,1000,3,16400
613,Whitefield,2,1568,3,28000
614,Whitefield,2,1088,1,14000
615,Bommanahalli,2,960,3,11000
616,Whitefield,2,1088,1,14000
617,Whitefield,3,1675,4,26000
618,Bommanahalli,2,1300,3,20000
619,Whitefield,2,1000,3,16400
620,Bommanahalli,3,1250,1,20000
621,Bommanahalli,2,1300,3,20000
622,Bommanahalli,2,1089,2,15500
623,Whitefield,3,2180,11,35000
624,Whitefield,3,1870,3,35000
625,Bommanahalli,2,960,3,11000
626,Bommanahalli,3,1375,3,19000
627,Bommanahalli,2,1089,2,15500
628,Whitefield,3,2180,11,35000
629,Whitefield,2,1000,3,16400
630,Bommanahalli,3,1744,2,22000
631,Whitefield,3,2180,11,35000
632,Bommanahalli,3,1250,1,20000
633,Whitefield,2,1280,3,23000
634,Bommanahalli,3,1471,3,21000
635,Bommanahalli,3,1471,3,21000
636,Whitefield,2,1280,3,23000
637,Bommanahalli,3,1375,3,19000
638,Bommanahalli,3,1250,1,20000
639,Bommanahalli,2,1251,3,19500
640,Whitefield,3,1675,4,26000
641,Bommanahalli,3,1471,3,21000
642,Bommanahalli,3,1744,2,22000
643,Bommanahalli,3,1650,0,18000
644,Whitefield,3,2180,11,35000
645,Whitefield,3,2200,10,42000
646,Whitefield,2,1088,1,14000
647,Bommanahalli,3,1460,2,25000
648,Bommanahalli,2,1135,2,16000
649,Whitefield,3,1675,4,26000
650,Bommanahalli,2,960,3,11000
651,Bommanahalli,3,1650,0,18000
652,Whitefield,3,1675,4,26000
653,Whitefield,3,2200,10,42000
654,Whitefield,2,1060,1,16000
655,Whitefield,2,1600,4,24000
656,Whitefield,3,2180,11,35000
657,Whitefield,3,1760,8,39500
658,Bommanahalli,3,3000,3,28000
659,Whitefield,2,1326,3,21000
660,Bommanahalli,3,1471,3,21000
661,Whitefield,3,2200,10,42000
662,Bommanahalli,2,1251,3,19500
663,Whitefield,3,2180,11,35000
664,Bommanahalli,3,1744,2,22000
665,Bommanahalli,2,1033,0,16500
666,Whitefield,3,2180,11,35000
667,Bommanahalli,3,1744,2,22000
668,Bommanahalli,3,1500,1,22000
669,Whitefield,2,1280,3,23000
670,Bommanahalli,2,1400,2,22000
671,Bommanahalli,2,1050,2,18000
672,Whitefield,3,1704,13,35000
673,Whitefield,2,1568,3,28000
674,Bommanahalli,3,1650,0,18000
675,Whitefield,2,1600,4,24000
676,Bommanahalli,3,1250,1,20000
677,Whitefield,3,2100,7,28000
678,Bommanahalli,3,1460,2,25000
679,Bommanahalli,2,767,3,16000
680,Whitefield,2,1280,3,23000
681,Whitefield,2,1088,1,14000
682,Whitefield,2,1000,3,18000
683,Bommanahalli,3,1381,4,22000
684,Bommanahalli,2,1200,4,19000
685,Bommanahalli,2,1300,3,20000
686,Whitefield,2,1326,3,21000
687,Bommanahalli,3,1460,2,25000
688,Whitefield,2,1600,4,24000
689,Whitefield,3,2180,11,35000
690,Bommanahalli,2,1251,3,19500
691,Bommanahalli,2,1089,2,15500
692,Whitefield,2,1245,1,25000
693,Whitefield,3,2292,12,39000
694,Whitefield,3,1768,11,30000
695,Bommanahalli,3,1460,2,25000
696,Whitefield,2,1280,3,23000
697,Bommanahalli,2,767,3,16000
698,Whitefield,3,1760,8,39500
699,Whitefield,3,1760,8,39500
700,Whitefield,2,1000,3,16400
701,Whitefield,3,2292,12,39000
702,Bommanahalli,3,1744,2,22000
703,Whitefield,3,2100,7,28000
704,Bommanahalli,2,950,1,14000
705,Bommanahalli,2,1400,2,22000
706,Whitefield,2,1088,1,14000
707,Whitefield,2,1088,1,14000
708,Bommanahalli,2,767,3,16000
709,Whitefield,2,1088,1,14000
710,Bommanahalli,2,1251,3,19500
711,Whitefield,3,2292,12,39000
712,Whitefield,3,1870,3,35000
713,Bommanahalli,3,1500,1,22000
714,Whitefield,2,1000,3,16400
715,Bommanahalli,3,1744,2,22000
716,Bommanahalli,2,1300,3,20000
717,Whitefield,2,1245,1,25000
718,Bommanahalli,2,1135,2,16000
719,Whitefield,2,1088,1,14000
720,Bommanahalli,2,1135,2,16000
721,Bommanahalli,2,1089,2,15500
722,Bommanahalli,2,950,1,14000
723,Bommanahalli,2,1089,2,15500
724,Bommanahalli,2,767,3,16000
725,Whitefield,2,1326,3,21000
726,Whitefield,2,1060,1,17000
727,Bommanahalli,3,1250,1,20000
728,Whitefield,2,1245,1,25000
729,Bommanahalli,2,960,3,11000
730,Bommanahalli,3,1250,1,20000
731,Whitefield,3,3155,1,45000
732,Bommanahalli,2,767,3,16000
733,Whitefield,2,1326,3,21000
734,Bommanahalli,3,1375,3,19000
735,Bommanahalli,3,1250,1,20000
736,Bommanahalli,3,1250,1,20000
737,Bommanahalli,2,1135,2,16000
738,Whitefield,3,1760,8,39500
739,Bommanahalli,3,1460,2,25000
740,Bommanahalli,3,1375,3,19000
741,Whitefield,2,1333,3,26000
742,Whitefield,3,1768,11,30000
743,Bommanahalli,2,1300,3,20000
744,Whitefield,3,2117,0,33000
745,Bommanahalli,2,1300,3,20000
746,Bommanahalli,2,767,3,16000
747,Whitefield,3,1870,3,35000
748,Whitefield,3,2100,7,28000
749,Bommanahalli,3,3000,3,28000
750,Bommanahalli,2,950,1,14000
751,Whitefield,3,1600,9,27000
752,Bommanahalli,3,1650,0,18000
753,Bommanahalli,2,1050,2,18000
754,Whitefield,2,1600,4,24000
755,Whitefield,3,1704,13,35000
756,Bommanahalli,2,1300,3,20000
757,Bommanahalli,2,1300,3,20000
758,Bommanahalli,2,1089,2,15500
759,Whitefield,2,1600,4,24000
760,Whitefield,2,1245,1,25000
761,Bommanahalli,2,960,3,11000
762,Bommanahalli,2,950,1,14000
763,Bommanahalli,3,1460,2,25000
764,Whitefield,3,2292,12,39000
765,Bommanahalli,2,1300,3,20000
766,Bommanahalli,3,1744,2,22000
767,Whitefield,2,1600,4,24000
768,Bommanahalli,3,1250,1,20000
769,Bommanahalli,2,1033,0,16500
770,Bommanahalli,2,950,1,14000
771,Bommanahalli,2,1300,3,20000
772,Bommanahalli,2,1400,2,22000
773,Bommanahalli,2,767,3,16000
774,Whitefield,2,1060,1,16000
775,Whitefield,2,1326,3,21000
776,Bommanahalli,3,1375,3,19000
777,Whitefield,2,1088,1,14000
778,Whitefield,2,1060,1,17000
779,Whitefield,3,1768,11,30000
